item_id,title,price,old_price,brand,category,href
277465713,Ігрова поверхня ProMat Карта Світу (90х40 см) Speed (15991),350,0,,Ігрові поверхні,https://hard.rozetka.com.ua/ua/277465713/p277465713/
287423333,Миша Roccat Kain 200 Aimo Wireless Black (ROC-11-615-BK),4759,0,Roccat,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/287423333/p287423333/
247483165,Миша Glorious Model O RGB USB Glossy White (GO-GWhite),2499,0,Glorious,Ігрові миші,https://rozetka.com.ua/ua/go_go_gwhite/p247483165/
306321263,Бездротова двоконтактна Bluetooth клавіатура Sandy Gforse Keyboard BK 230 Black,1249,1499,Sundy,Клавіатури,https://hard.rozetka.com.ua/ua/306321263/p306321263/
328485742,Ігрова клавіатура з підсвічуванням JEDEL K500 RGB (Eng/Rus),356,0,Jedel,Ігрові клавіатури,https://rozetka.com.ua/ua/328485742/p328485742/
55886640,Клавіатура дротова Genius Smart KB-100 USB (31300005410),299,189,Genius,Клавіатури,https://hard.rozetka.com.ua/ua/genius_smart_kb_100_31300005410/p55886640/
356533746,USB Миша Razer Lancehead Tournament Edition Сіра,960,0,Razer,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/356533746/p356533746/
243807793,Ігрова поверхня T-DAGGER Lava S Control (T-TMP100),119,159,T-DAGGER,Ігрові поверхні,https://hard.rozetka.com.ua/ua/t_dagger_t_tmp100/p243807793/
306681483,Миша SteelSeries Rival 5 USB Black (SS62551),2999,2999,SteelSeries,Ігрові миші,https://rozetka.com.ua/ua/steelseries-ss62551/p306681483/
325418560,Бездротова безшумна вертикальна миша Delux M618 Mini DB Black,1355,1499,Delux,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/325418560/p325418560/
33998879,Миша Trust Ziva USB з ігровою поверхнею Black (TR21963),239,349,Trust,Ігрові миші,https://rozetka.com.ua/ua/trust_21963/p33998879/
318589435,Бездротова миша A4Tech R80A Bloody Skull USB Black R80A Bloody (Skull),1378,0,A4Tech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/318589435/p318589435/
220455025,Клавіатура A4Tech B500N Grey USB Bloody,1549,1549,A4Tech,Ігрові клавіатури,https://rozetka.com.ua/ua/220455025/p220455025/
325335322,Приймач-передавач для бездротових мишей A4Tech RN-20M (4711421963886),125,0,A4Tech,Аксесуари для клавіатур і мишок,https://rozetka.com.ua/ua/a4tech-4711421963886/p325335322/
74075823,Миша Trust GXT 144 Rexx Vertical USB Black (TR22991),999,0,Trust,Ігрові миші,https://rozetka.com.ua/ua/trust_gxt_144_rexx_vertical_black_tr22991/p74075823/
253494831,Клавіатура дротова A4Tech FK13P Fstyler Numeric Keypad White (4711421953450),229,259,A4Tech,Клавіатури,https://hard.rozetka.com.ua/ua/a4tech_4711421953450/p253494831/
14832148,Ігрова поверхня Esperanza Grunge Control (EA146G),166,169,Esperanza,Ігрові поверхні,https://hard.rozetka.com.ua/ua/esperanza_mousepad_ea146g/p14832148/
62672195,Клавіатура дротова Frime Dragonfly USB (FLK18300),699,699,Frime,Ігрові клавіатури,https://rozetka.com.ua/ua/frime_flk18300/p62672195/
301031953,Підставка під зап'ястя для клавіатури Razer Wrist Rest for Mini keyboards (RC21-01720100-R3M1),999,0,Razer,Аксесуари для клавіатур і мишок,https://rozetka.com.ua/ua/razer_rc21_01720100_r3m1/p301031953/
360074289,Геймерський килимок RGB RAZER R-350 RS-02 Black (kt-R-350),540,640,Razer,Ігрові поверхні,https://hard.rozetka.com.ua/ua/360074289/p360074289/
16085900,Миша A4Tech G7-600NX Wireless Black (4711421870221),349,0,A4Tech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/a4_tech_g7_600nx_black/p16085900/
143123780,Тримач кабелю Razer Mouse Bungee V2 (RC21-01210100-R3M1),699,899,Razer,Ігрові миші,https://rozetka.com.ua/ua/razer_rc21_01210100_r3m1/p143123780/
295332668,Ігрова поверхня WorkPlaceShop AT TOKIO 300х800 мм,552,500,WorkPlaceShop,Ігрові поверхні,https://hard.rozetka.com.ua/ua/295332668/p295332668/
336551629,"Бездротова комп'ютерна мишка Wireless Bluetooth Mouse G-132, Чорна, миша оптична (1007391-Black-1)",221,243,Без бренда,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/336551629/p336551629/
19864341,Ігрова поверхня Esperanza Grunge Control (EGP103G),149,129,Esperanza,Ігрові поверхні,https://hard.rozetka.com.ua/ua/esperanza_egp103g/p19864341/
73957707,Миша Defender sTarx GM-390L Black (52390),359,435,Defender,Ігрові миші,https://rozetka.com.ua/ua/defender_starx_gm_390l_black/p73957707/
